MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0000010	geo_loc_name	geographic location (country and/or sea,region)	country or sea name (INSDC or GAZ): region(GAZ), specific location name	{term}: {term}, {text}	1		The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ).
MIXS:0000093	elev	elevation	measurement value	{float} {unit}		meter	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.
MIXS:0000692	conduc	conductivity	measurement value	{float} {unit}	1	milliSiemens per centimeter	Electrical conductivity of water.
MIXS:0000052	chimera_check	chimera check software	name and version of software, parameters used	{software};{version};{parameters}	1		Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences.
MIXS:0000872	host_family_relation	host family relationship	relationship type;arbitrary identifier	{text};{text}	m		Relationships to other hosts in the same study; can include multiple relationships
MIXS:0000858	biol_stat	biological status	enumeration	[wild|natural|semi-natural|inbred line|breeder's line|hybrid|clonal selection|mutant]	1		The level of genome modification.
MIXS:0000571	non_mineral_nutr_regm	non-mineral nutrient regimen	non-mineral nutrient name;non-mineral nutrient amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	m	gram, mole per liter, milligram per liter	Information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple non-mineral nutrient regimens
MIXS:0000332	soil_type	soil type	soil type name	{text}	1		Soil series name or other lower-level classification
MIXS:0000525	tot_carb	total carbon	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Total carbon content
MIXS:0000859	genetic_mod	genetic modification	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection.
MIXS:0001161	rel_location	relative location of sample	text				Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road
